,country_name,avg_speed
0,Canada,75.18
1,South Korea,117.95
2,Netherlands,108.33
3,Japan,44.05
4,Norway,134.73
5,Singapore,67.99
6,Australia,76.52
7,Switzerland,82.29
8,Belgium,58.65
9,Croatia,86.48
10,New Zealand,49.49
11,Austria,56.6
12,Denmark,105.65
13,Lithuania,50.13
14,Czech Republic,44.55
15,United Arab Emirates,135.35
16,Hungary,41.32
17,Qatar,120.69
18,North Macedonia,64.23
19,Finland,71.23
20,Sweden,73.61
21,Taiwan,53.93
22,Germany,55.7
23,France,60.94
24,United States,61.12
25,Portugal,64.3
26,Spain,34.26
27,Slovenia,54.57
28,Albania,40.48
29,Slovakia,33.44
30,Serbia,45.81
31,Oman,44.47
32,Italy,37.15
33,Lebanon,16.38
34,Greece,59.42
35,United Kingdom,48.1
36,Hong Kong,47.34
37,Romania,36.9
38,Saudi Arabia,102.79
39,Poland,40.14
40,Vietnam,33.9
41,Uruguay,34.43
42,Turkey,30.48
43,Mexico,29.81
44,Maldives,47.93
45,Ireland,30.16
46,South Africa,33.62
48,Azerbaijan,30.4
49,Argentina,20.64
50,Morocco,27.84
51,Laos,23.41
52,Kuwait,96.23
53,Bahrain,53.08
54,Brunei,71.38
55,Iran,24.9
56,Tunisia,22.64
57,Brazil,22.3
58,Israel,28.01
59,Guatemala,17.3
60,Russia,20.46
61,Ukraine,15.62
62,Costa Rica,17.46
63,Chile,22.49
64,Bolivia,14.1
65,Honduras,20.73
66,Colombia,12.35
67,Ecuador,17.7
68,Jordan,19.47
69,Peru,15.64
70,Afghanistan,5.5
71,Kazakhstan,18.71
72,Dominican Republic,20.7
73,Malaysia,25.87
74,Kenya,16.93
75,Belarus,9.99
76,Paraguay,15.15
77,Egypt,19.73
78,Kyrgyzstan,16.3
79,Sri Lanka,13.15
80,Indonesia,17.7
81,Thailand,33.49
82,Senegal,21.44
83,Philippines,19.48
84,Panama,17.03
85,Pakistan,16.73
86,India,13.67
87,Cambodia,16.12
88,Nepal,16.45
89,Cameroon,11.88
90,Ivory Coast,9.92
91,Nigeria,18.92
92,Bangladesh,10.43
93,Ghana,8.44
94,Somalia,7.95
95,Uzbekistan,13.27
96,Algeria,12.44
97,El Salvador,21.03
98,Tanzania,10.39
99,Iraq,39.9
100,Bulgaria,87.51
101,China,83.43
102,Luxembourg,82.85
103,Cyprus,75.48
104,Montenegro,41.93
105,Estonia,55.07
106,Macau,50.16
107,Malta,49.66
108,Latvia,41.6
109,Suriname,40.7
110,Togo,34.42
111,Jamaica,30.84
112,Georgia,30.67
113,Moldova,29.46
114,Bosnia and Herzegovina,28.49
115,Trinidad and Tobago,28.37
116,Bahamas,26.77
117,Fiji,25.99
118,Kosovo,24.63
119,Botswana,24.14
120,Myanmar,24.06
121,Angola,22.59
122,Armenia,22.01
123,Ethiopia,21.08
124,Namibia,18.43
125,Nicaragua,18.3
126,Mauritius,18.09
127,Malawi,17.95
128,Yemen,16.89
129,Mongolia,16.69
130,Lebanon,16.38
131,Uganda,15.99
132,Mozambique,15.66
133,Zimbabwe,13.99
134,Syria,13.24
135,Haiti,12.49
136,DR Congo,12.08
137,Libya,10.4
138,Zambia,10.36
139,Sudan,9.5
140,Cuba,9.1
141,Tajikistan,7.05
142,Venezuela,5.68
143,Palestine,4.89
